Sales Domain.[Sold To],Sales Domain.[Sold To Image],Sales Domain.[Sold To Status],Sales Domain.[Sold To$DisplayName],Sales Domain.[Sold To$InActive],Sales Domain.[Sold To$Partition],Sales Domain.[Zip Code],Sales Domain.[Zip Code$DisplayName],Sales Domain.[Zip Code$InActive],Sales Domain.[Zip Code$Partition],Sales Domain.[Region],Sales Domain.[Region Image],Sales Domain.[Region$DisplayName],Sales Domain.[Region$InActive],Sales Domain.[Region$Partition],Sales Domain.[All Sales Domain],Sales Domain.[All Sales Domain Image],Sales Domain.[All Sales Domain$DisplayName],Sales Domain.[All Sales Domain$InActive],Sales Domain.[All Sales Domain$Partition],Sales Domain.[Division],Sales Domain.[Division Image],Sales Domain.[Division$DisplayName],Sales Domain.[Division$InActive],Sales Domain.[Division$Partition],Sales Domain.[Stat Customer Group],Sales Domain.[Stat Customer Group$DisplayName],Sales Domain.[Stat Customer Group$InActive],Sales Domain.[Stat Customer Group$Partition],Sales Domain.[Geo],Sales Domain.[Geo Image],Sales Domain.[Geo$DisplayName],Sales Domain.[Geo$InActive],Sales Domain.[Geo$Partition],Sales Domain.[City],Sales Domain.[City$DisplayName],Sales Domain.[City$InActive],Sales Domain.[City$Partition],Sales Domain.[Accounting Group],Sales Domain.[Accounting Group Image],Sales Domain.[Accounting Group$DisplayName],Sales Domain.[Accounting Group$InActive],Sales Domain.[Accounting Group$Partition],Sales Domain.[Ship To],Sales Domain.[Ship To$DisplayName],Sales Domain.[Ship To$InActive],Sales Domain.[Ship To$Partition],Sales Domain.[Latitude],Sales Domain.[Longitude],Sales Domain.[Ship To Status],Sales Domain.[Store Address],Sales Domain.[Store Open Date],Sales Domain.[Store Status],Sales Domain.[Street],Sales Domain.[Zone],Sales Domain.[Zone$DisplayName],Sales Domain.[Zone$InActive],Sales Domain.[Zone$Partition],Sales Domain.[Channel],Sales Domain.[Channel Image],Sales Domain.[Channel$DisplayName],Sales Domain.[Channel$InActive],Sales Domain.[Channel$Partition],Sales Domain.[Customer Group],Sales Domain.[Customer Group Image],Sales Domain.[Customer Group$DisplayName],Sales Domain.[Customer Group$InActive],Sales Domain.[Customer Group$Partition],Sales Domain.[Customer Class],Sales Domain.[Customer Class$DisplayName],Sales Domain.[Customer Class$InActive],Sales Domain.[Customer Class$Partition],Sales Domain.[State],Sales Domain.[State Image],Sales Domain.[State Code],Sales Domain.[State$DisplayName],Sales Domain.[State$InActive],Sales Domain.[State$Partition],Sales Domain.[Ship To Class],Sales Domain.[Ship To Class$DisplayName],Sales Domain.[Ship To Class$InActive],Sales Domain.[Ship To Class$Partition],Sales Domain.[Channel Group],Sales Domain.[Channel Group Image],Sales Domain.[Channel Group$DisplayName],Sales Domain.[Channel Group$InActive],Sales Domain.[Channel Group$Partition],Sales Domain.[Country],Sales Domain.[Country Image],Sales Domain.[Country$DisplayName],Sales Domain.[Country$InActive],Sales Domain.[Country$Partition]
10140,,,10140,,,32819,32819,,,22,"https://lumiere-a.akamaihd.net/v1/images/cg_parks_wdw_50thcelebration_specialoffers_21943_25454ec0.jpeg?region=0,0,800,800.jpg",22,,,All,,All,,,22,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_22 - Copy.jpg,22,,,250,250,,,North America,,North America,,,Orlando,Orlando,,,MCDUS-SACO-0036,,MCDUS-SACO-0036,,,10140,10140,,,28.46932725,-81.45101885,,,17-Apr-1987,OPENED,Altamira Drive,zz_NONE,zz_NONE,,,15,,15,,,10140,,10140,,,,,,,Florida,,FL,Florida,,,zz_None,zz_None,,,15,,15,,,USA,,USA,,
11266,,,11266,,,32730,32730,,,22,"https://lumiere-a.akamaihd.net/v1/images/cg_parks_wdw_50thcelebration_specialoffers_21943_25454ec0.jpeg?region=0,0,800,800.jpg",22,,,All,,All,,,22,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_22 - Copy.jpg,22,,,250,250,,,North America,,North America,,,Casselberry,Casselberry,,,MCDUS-SACO-0036,,MCDUS-SACO-0036,,,11266,11266,,,28.663726,-81.345302,,,15-Dec-1989,OPENED,E Altamonte Dr,zz_NONE,zz_NONE,,,15,,15,,,11266,,11266,,,,,,,Florida,,FL,Florida,,,zz_None,zz_None,,,15,,15,,,USA,,USA,,
11945,,,11945,,,84713,84713,,,64,https://www.planetware.com/photos-large/USUT/utah-arches-national-park.jpg,64,,,All,,All,,,64,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_64.png,64,,,210,210,,,North America,,North America,,,Beaver,Beaver,,,MCDUS-SACO-0084,,MCDUS-SACO-0084,,,11945,11945,,,38.2927731,-112.648065,,,17-Oct-1991,OPENED,North 400 West Street,zz_NONE,zz_NONE,,,14,,14,,,11945,,11945,,,,,,,Utah,,UT,Utah,,,zz_None,zz_None,,,14,,14,,,USA,,USA,,
12357,,,12357,,,32256,32256,,,22,"https://lumiere-a.akamaihd.net/v1/images/cg_parks_wdw_50thcelebration_specialoffers_21943_25454ec0.jpeg?region=0,0,800,800.jpg",22,,,All,,All,,,22,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_22 - Copy.jpg,22,,,236,236,,,North America,,North America,,,Jacksonville,Jacksonville,,,MCDUS-SACO-0029,,MCDUS-SACO-0029,,,12357,12357,,,30.220356,-81.579735,,,13-Feb-1993,OPENED,Baymeadows Rd,zz_NONE,zz_NONE,,,15,,15,,,12357,,12357,,,,,,,Florida,,FL,Florida,,,zz_None,zz_None,,,15,,15,,,USA,,USA,,
12449,,,12449,,,11372,11372,,,30,https://www.planetware.com/photos-large/USNY/new-york-city-statue-of-liberty.jpg,30,,,All,,All,,,30,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_30.png,30,,,246,246,,,North America,,North America,,,New York,New York,,,MCDUS-SACO-0009,,MCDUS-SACO-0009,,,12449,12449,,,40.7480723,-73.8837136,,,30-Sep-1994,OPENED,82nd Street,zz_NONE,zz_NONE,,,42,,42,,,12449,,12449,,,,,,,New York,,NY,New York,,,zz_None,zz_None,,,42,,42,,,USA,,USA,,
12870,,,12870,,,32653,32653,,,22,"https://lumiere-a.akamaihd.net/v1/images/cg_parks_wdw_50thcelebration_specialoffers_21943_25454ec0.jpeg?region=0,0,800,800.jpg",22,,,All,,All,,,22,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_22 - Copy.jpg,22,,,236,236,,,North America,,North America,,,City of Gainesville Municipal Boundaries,City of Gainesville Municipal Boundaries,,,MCDUS-SACO-0029,,MCDUS-SACO-0029,,,12870,12870,,,29.70113595,-82.38964349,,,13-Jun-1994,OPENED,Northwest 43rd Street,zz_NONE,zz_NONE,,,15,,15,,,12870,,12870,,,,,,,Florida,,FL,Florida,,,zz_None,zz_None,,,15,,15,,,USA,,USA,,
13065,,,13065,,,11949,11949,,,30,https://www.planetware.com/photos-large/USNY/new-york-city-statue-of-liberty.jpg,30,,,All,,All,,,30,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_30.png,30,,,246,246,,,North America,,North America,,,Manorville,Manorville,,,MCDUS-SACO-0009,,MCDUS-SACO-0009,,,13065,13065,,,40.86883675,-72.79454381,,,26-Oct-1994,OPENED,Captain Daniel Roe Highway,zz_NONE,zz_NONE,,,42,,42,,,13065,,13065,,,,,,,New York,,NY,New York,,,zz_None,zz_None,,,42,,42,,,USA,,USA,,
13085,,,13085,,,7054,7054,,,30,https://www.planetware.com/photos-large/USNY/new-york-city-statue-of-liberty.jpg,30,,,All,,All,,,30,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_30.png,30,,,246,246,,,North America,,North America,,,Parsippany-Troy Hills,Parsippany-Troy Hills,,,MCDUS-SACO-0009,,MCDUS-SACO-0009,,,13085,13085,,,40.87104305,-74.42334269,,,23-Dec-1995,OPENED,US 46,zz_NONE,zz_NONE,,,42,,42,,,13085,,13085,,,,,,,New Jersey,,NJ,New Jersey,,,zz_None,zz_None,,,42,,42,,,USA,,USA,,
13838,,,13838,,,60606,60606,,,24,https://api.time.com/wp-content/uploads/2014/09/148616068.jpg?w=800&quality=85.jpg,24,,,All,,All,,,24,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_24.png,24,,,229,229,,,North America,,North America,,,Chicago,Chicago,,,MCDUS-SACO-0007,,MCDUS-SACO-0007,,,13838,13838,,,41.8787921,-87.63899988,,,31-Dec-1993,OPENED,South Riverside Plaza,zz_NONE,zz_NONE,,,99,,99,,,13838,,13838,,,,,,,Illinois,,IL,Illinois,,,zz_None,zz_None,,,99,,99,,,USA,,USA,,
14202,,,14202,,,84319,84319,,,64,https://www.planetware.com/photos-large/USUT/utah-arches-national-park.jpg,64,,,All,,All,,,64,https://d1jup4wycac0oo.cloudfront.net/havidppoc/Screenshot_64.png,64,,,210,210,,,North America,,North America,,,Hyrum,Hyrum,,,MCDUS-SACO-0084,,MCDUS-SACO-0084,,,14202,14202,,,41.63322305,-111.8321282,,,29-Jun-1995,OPENED,South 800 East,zz_NONE,zz_NONE,,,14,,14,,,14202,,14202,,,,,,,Utah,,UT,Utah,,,zz_None,zz_None,,,14,,14,,,USA,,USA,,
