Version.[Version Name],Time.[Day],Sales Domain.[Sold To],Holiday Type L0,Is Holiday L0
CurrentWorkingView,05-Sep-16,86,Labor Day,1
CurrentWorkingView,05-Sep-16,706,Labor Day,1
CurrentWorkingView,05-Sep-16,888,Labor Day,1
CurrentWorkingView,05-Sep-16,1443,Labor Day,1
CurrentWorkingView,05-Sep-16,2498,Labor Day,1
CurrentWorkingView,05-Sep-16,3274,Labor Day,1
CurrentWorkingView,05-Sep-16,3366,Labor Day,1
CurrentWorkingView,05-Sep-16,5293,Labor Day,1
CurrentWorkingView,05-Sep-16,5318,Labor Day,1
CurrentWorkingView,05-Sep-16,5895,Labor Day,1
CurrentWorkingView,05-Sep-16,6199,Labor Day,1
CurrentWorkingView,05-Sep-16,6638,Labor Day,1
CurrentWorkingView,05-Sep-16,6717,Labor Day,1
CurrentWorkingView,05-Sep-16,10140,Labor Day,1
CurrentWorkingView,05-Sep-16,11266,Labor Day,1
CurrentWorkingView,05-Sep-16,11945,Labor Day,1
CurrentWorkingView,05-Sep-16,12357,Labor Day,1
CurrentWorkingView,05-Sep-16,12449,Labor Day,1
CurrentWorkingView,05-Sep-16,12870,Labor Day,1
CurrentWorkingView,05-Sep-16,13065,Labor Day,1
CurrentWorkingView,05-Sep-16,13085,Labor Day,1
CurrentWorkingView,05-Sep-16,13838,Labor Day,1
CurrentWorkingView,05-Sep-16,14202,Labor Day,1
CurrentWorkingView,05-Sep-16,14403,Labor Day,1
CurrentWorkingView,05-Sep-16,17890,Labor Day,1
CurrentWorkingView,05-Sep-16,17997,Labor Day,1
CurrentWorkingView,05-Sep-16,20199,Labor Day,1
CurrentWorkingView,05-Sep-16,20200,Labor Day,1
CurrentWorkingView,05-Sep-16,20313,Labor Day,1
CurrentWorkingView,05-Sep-16,20695,Labor Day,1
CurrentWorkingView,05-Sep-16,22179,Labor Day,1
CurrentWorkingView,05-Sep-16,22889,Labor Day,1
CurrentWorkingView,05-Sep-16,23475,Labor Day,1
CurrentWorkingView,05-Sep-16,23894,Labor Day,1
CurrentWorkingView,05-Sep-16,24037,Labor Day,1
CurrentWorkingView,05-Sep-16,26777,Labor Day,1
CurrentWorkingView,05-Sep-16,27008,Labor Day,1
CurrentWorkingView,05-Sep-16,27503,Labor Day,1
CurrentWorkingView,05-Sep-16,28072,Labor Day,1
CurrentWorkingView,05-Sep-16,31591,Labor Day,1
CurrentWorkingView,05-Sep-16,32035,Labor Day,1
CurrentWorkingView,05-Sep-16,32819,Labor Day,1
CurrentWorkingView,05-Sep-16,34272,Labor Day,1
CurrentWorkingView,05-Sep-16,34290,Labor Day,1
CurrentWorkingView,05-Sep-16,34803,Labor Day,1
CurrentWorkingView,05-Sep-16,36470,Labor Day,1
CurrentWorkingView,05-Sep-16,36566,Labor Day,1
CurrentWorkingView,05-Sep-16,37265,Labor Day,1
CurrentWorkingView,05-Sep-16,38983,Labor Day,1
CurrentWorkingView,05-Sep-16,39401,Labor Day,1
CurrentWorkingView,11-Nov-16,86,Veterans Day,1
CurrentWorkingView,11-Nov-16,706,Veterans Day,1
CurrentWorkingView,11-Nov-16,888,Veterans Day,1
CurrentWorkingView,11-Nov-16,1443,Veterans Day,1
CurrentWorkingView,11-Nov-16,2498,Veterans Day,1
CurrentWorkingView,11-Nov-16,3274,Veterans Day,1
CurrentWorkingView,11-Nov-16,3366,Veterans Day,1
CurrentWorkingView,11-Nov-16,5293,Veterans Day,1
CurrentWorkingView,11-Nov-16,5318,Veterans Day,1
CurrentWorkingView,11-Nov-16,5895,Veterans Day,1
CurrentWorkingView,11-Nov-16,6199,Veterans Day,1
CurrentWorkingView,11-Nov-16,6638,Veterans Day,1
CurrentWorkingView,11-Nov-16,6717,Veterans Day,1
CurrentWorkingView,11-Nov-16,10140,Veterans Day,1
CurrentWorkingView,11-Nov-16,11266,Veterans Day,1
CurrentWorkingView,11-Nov-16,11945,Veterans Day,1
CurrentWorkingView,11-Nov-16,12357,Veterans Day,1
CurrentWorkingView,11-Nov-16,12449,Veterans Day,1
CurrentWorkingView,11-Nov-16,12870,Veterans Day,1
CurrentWorkingView,11-Nov-16,13065,Veterans Day,1
CurrentWorkingView,11-Nov-16,13085,Veterans Day,1
CurrentWorkingView,11-Nov-16,13838,Veterans Day,1
CurrentWorkingView,11-Nov-16,14202,Veterans Day,1
CurrentWorkingView,11-Nov-16,14403,Veterans Day,1
CurrentWorkingView,11-Nov-16,17890,Veterans Day,1
CurrentWorkingView,11-Nov-16,17997,Veterans Day,1
CurrentWorkingView,11-Nov-16,20199,Veterans Day,1
CurrentWorkingView,11-Nov-16,20200,Veterans Day,1
CurrentWorkingView,11-Nov-16,20313,Veterans Day,1
CurrentWorkingView,11-Nov-16,20695,Veterans Day,1
CurrentWorkingView,11-Nov-16,22179,Veterans Day,1
CurrentWorkingView,11-Nov-16,22889,Veterans Day,1
CurrentWorkingView,11-Nov-16,23475,Veterans Day,1
CurrentWorkingView,11-Nov-16,23894,Veterans Day,1
CurrentWorkingView,11-Nov-16,24037,Veterans Day,1
CurrentWorkingView,11-Nov-16,26777,Veterans Day,1
CurrentWorkingView,11-Nov-16,27008,Veterans Day,1
CurrentWorkingView,11-Nov-16,27503,Veterans Day,1
CurrentWorkingView,11-Nov-16,28072,Veterans Day,1
CurrentWorkingView,11-Nov-16,31591,Veterans Day,1
CurrentWorkingView,11-Nov-16,32035,Veterans Day,1
CurrentWorkingView,11-Nov-16,32819,Veterans Day,1
CurrentWorkingView,11-Nov-16,34272,Veterans Day,1
CurrentWorkingView,11-Nov-16,34290,Veterans Day,1
CurrentWorkingView,11-Nov-16,34803,Veterans Day,1
CurrentWorkingView,11-Nov-16,36470,Veterans Day,1
CurrentWorkingView,11-Nov-16,36566,Veterans Day,1
CurrentWorkingView,11-Nov-16,37265,Veterans Day,1
CurrentWorkingView,11-Nov-16,38983,Veterans Day,1
CurrentWorkingView,11-Nov-16,39401,Veterans Day,1
CurrentWorkingView,24-Nov-16,86,Thanksgiving,1
CurrentWorkingView,24-Nov-16,706,Thanksgiving,1
CurrentWorkingView,24-Nov-16,888,Thanksgiving,1
CurrentWorkingView,24-Nov-16,1443,Thanksgiving,1
CurrentWorkingView,24-Nov-16,2498,Thanksgiving,1
CurrentWorkingView,24-Nov-16,3274,Thanksgiving,1
CurrentWorkingView,24-Nov-16,3366,Thanksgiving,1
CurrentWorkingView,24-Nov-16,5293,Thanksgiving,1
CurrentWorkingView,24-Nov-16,5318,Thanksgiving,1
CurrentWorkingView,24-Nov-16,5895,Thanksgiving,1
CurrentWorkingView,24-Nov-16,6199,Thanksgiving,1
CurrentWorkingView,24-Nov-16,6638,Thanksgiving,1
CurrentWorkingView,24-Nov-16,6717,Thanksgiving,1
CurrentWorkingView,24-Nov-16,10140,Thanksgiving,1
CurrentWorkingView,24-Nov-16,11266,Thanksgiving,1
CurrentWorkingView,24-Nov-16,11945,Thanksgiving,1
CurrentWorkingView,24-Nov-16,12357,Thanksgiving,1
CurrentWorkingView,24-Nov-16,12449,Thanksgiving,1
CurrentWorkingView,24-Nov-16,12870,Thanksgiving,1
CurrentWorkingView,24-Nov-16,13065,Thanksgiving,1
CurrentWorkingView,24-Nov-16,13085,Thanksgiving,1
CurrentWorkingView,24-Nov-16,13838,Thanksgiving,1
CurrentWorkingView,24-Nov-16,14202,Thanksgiving,1
CurrentWorkingView,24-Nov-16,14403,Thanksgiving,1
CurrentWorkingView,24-Nov-16,17890,Thanksgiving,1
CurrentWorkingView,24-Nov-16,17997,Thanksgiving,1
CurrentWorkingView,24-Nov-16,20199,Thanksgiving,1
CurrentWorkingView,24-Nov-16,20200,Thanksgiving,1
CurrentWorkingView,24-Nov-16,20313,Thanksgiving,1
CurrentWorkingView,24-Nov-16,20695,Thanksgiving,1
CurrentWorkingView,24-Nov-16,22179,Thanksgiving,1
CurrentWorkingView,24-Nov-16,22889,Thanksgiving,1
CurrentWorkingView,24-Nov-16,23475,Thanksgiving,1
CurrentWorkingView,24-Nov-16,23894,Thanksgiving,1
CurrentWorkingView,24-Nov-16,24037,Thanksgiving,1
CurrentWorkingView,24-Nov-16,26777,Thanksgiving,1
CurrentWorkingView,24-Nov-16,27008,Thanksgiving,1
CurrentWorkingView,24-Nov-16,27503,Thanksgiving,1
CurrentWorkingView,24-Nov-16,28072,Thanksgiving,1
CurrentWorkingView,24-Nov-16,31591,Thanksgiving,1
CurrentWorkingView,24-Nov-16,32035,Thanksgiving,1
CurrentWorkingView,24-Nov-16,32819,Thanksgiving,1
CurrentWorkingView,24-Nov-16,34272,Thanksgiving,1
CurrentWorkingView,24-Nov-16,34290,Thanksgiving,1
CurrentWorkingView,24-Nov-16,34803,Thanksgiving,1
CurrentWorkingView,24-Nov-16,36470,Thanksgiving,1
CurrentWorkingView,24-Nov-16,36566,Thanksgiving,1
CurrentWorkingView,24-Nov-16,37265,Thanksgiving,1
CurrentWorkingView,24-Nov-16,38983,Thanksgiving,1
CurrentWorkingView,24-Nov-16,39401,Thanksgiving,1
CurrentWorkingView,23-Dec-16,86,Christmas Eve,1
CurrentWorkingView,23-Dec-16,6717,Christmas Eve,1
CurrentWorkingView,23-Dec-16,10140,Christmas Eve,1
CurrentWorkingView,23-Dec-16,11266,Christmas Eve,1
CurrentWorkingView,23-Dec-16,12357,Christmas Eve,1
CurrentWorkingView,23-Dec-16,12870,Christmas Eve,1
CurrentWorkingView,23-Dec-16,17890,Christmas Eve,1
CurrentWorkingView,23-Dec-16,17997,Christmas Eve,1
CurrentWorkingView,23-Dec-16,27503,Christmas Eve,1
CurrentWorkingView,23-Dec-16,34803,Christmas Eve,1
CurrentWorkingView,24-Dec-16,706,Christmas Eve,1
CurrentWorkingView,24-Dec-16,888,Christmas Eve,1
CurrentWorkingView,24-Dec-16,1443,Christmas Eve,1
CurrentWorkingView,24-Dec-16,2498,Christmas Eve,1
CurrentWorkingView,24-Dec-16,3274,Christmas Eve,1
CurrentWorkingView,24-Dec-16,3366,Christmas Eve,1
CurrentWorkingView,24-Dec-16,5293,Christmas Eve,1
CurrentWorkingView,24-Dec-16,5318,Christmas Eve,1
CurrentWorkingView,24-Dec-16,5895,Christmas Eve,1
CurrentWorkingView,24-Dec-16,6199,Christmas Eve,1
CurrentWorkingView,24-Dec-16,6638,Christmas Eve,1
CurrentWorkingView,24-Dec-16,11945,Christmas Eve,1
CurrentWorkingView,24-Dec-16,12449,Christmas Eve,1
CurrentWorkingView,24-Dec-16,13065,Christmas Eve,1
CurrentWorkingView,24-Dec-16,13085,Christmas Eve,1
CurrentWorkingView,24-Dec-16,13838,Christmas Eve,1
CurrentWorkingView,24-Dec-16,14202,Christmas Eve,1
CurrentWorkingView,24-Dec-16,14403,Christmas Eve,1
CurrentWorkingView,24-Dec-16,20199,Christmas Eve,1
CurrentWorkingView,24-Dec-16,20200,Christmas Eve,1
CurrentWorkingView,24-Dec-16,20313,Christmas Eve,1
CurrentWorkingView,24-Dec-16,20695,Christmas Eve,1
CurrentWorkingView,24-Dec-16,22179,Christmas Eve,1
CurrentWorkingView,24-Dec-16,22889,Christmas Eve,1
CurrentWorkingView,24-Dec-16,23475,Christmas Eve,1
CurrentWorkingView,24-Dec-16,23894,Christmas Eve,1
CurrentWorkingView,24-Dec-16,24037,Christmas Eve,1
CurrentWorkingView,24-Dec-16,26777,Christmas Eve,1
CurrentWorkingView,24-Dec-16,27008,Christmas Eve,1
CurrentWorkingView,24-Dec-16,28072,Christmas Eve,1
CurrentWorkingView,24-Dec-16,31591,Christmas Eve,1
CurrentWorkingView,24-Dec-16,32035,Christmas Eve,1
